,0,1,2,3
0,85.00000000090625,-33925.00000000002,5670.999999999814,34395.829558247315
1,54.75955684383083,-33923.67285853259,5251.034938419086,34327.71397495476
2,24.842257663176895,-33920.39150566621,4825.555365088758,34261.925830533444
3,-4.7202948528526,-33915.17796253342,4395.008970443405,34198.76346246708
4,-33.89687274734869,-33908.05629130685,3959.8487650326656,34138.50952655002
5,-62.656655781877994,-33899.05256978149,3520.5326028745576,34081.42955911952
6,-90.96926399297739,-33888.1948638278,3077.522699724283,34027.770607300656
7,-118.8047897835706,-33875.51319774475,2631.285146765363,33977.75993958757
8,-146.13382951540757,-33861.039522544124,2182.289420234767,33931.60384887653
9,-172.92751456915494,-33844.80768219951,1731.007887497959,33889.48655965366
10,-199.15754183932688,-33826.853377895786,1277.9153100935073,33851.56925041884
11,-224.79620363184418,-33807.21413031666,823.4883442700792,33817.98920159799
12,-249.81641693263944,-33785.92924001029,368.20503954126974,33788.85907816799
13,-274.1917520163909,-33763.03974587473,-87.45566421420719,33764.26635500309
14,-297.8964603651646,-33738.58838180711,-543.0144405779304,33744.27289157056
15,-320.90550186747265,-33712.61953156232,-997.9920808127739,33728.91466107931
16,-343.19457126901864,-33685.17918186892,-1451.9099979491061,33718.20163755043
17,-364.7401238471867,-33656.31487385175,-1904.2907302059132,33712.11784256437
18,-385.519400282154,-33626.075652812535,-2354.6584432173177,33710.62155168428
19,-405.51045069835556,-33594.5120164217,-2802.5394305362047,33713.64565879575
20,-424.6921578509044,-33561.675861375836,-3247.462611888517,33721.098194878105
21,-443.04425943247526,-33527.620428577444,-3688.9600286541336,33732.86299606939
22,-460.54736947708744,-33492.400246894715,-4126.567336053197,33748.80051433987
23,-477.1829988381779,-33456.07107556078,-4559.82429152021,33768.748762678384
24,-492.9335747193327,-33418.68984527327,-4988.275238752261,33792.52438544959
25,-507.7824592370456,-33380.314598056444,-5411.469586922302,33819.92384351736
26,-521.7139669958957,-33341.00442594935,-5828.962284553474,33850.72470286685
27,-534.7133816575785,-33300.81940858489,-6240.314287556132,33884.68701480338
28,-546.7669714862878,-33259.82054972554,-6645.093020935354,33921.55477536278
29,-557.8620038540292,-33218.06971282299,-7042.872833683408,33961.05745133311
30,-567.986758690538,-33175.6295556696,-7433.235446378787,34002.91156025272
31,-577.1305408636,-33132.563464210805,-7815.770391021159,34046.822291901444
32,-585.2836914766928,-33088.9354855883,-8190.075442639733,34092.485159123615
33,-592.4375980720163,-33044.81026048481,-8555.757042221181,34139.58766629393
34,-598.5847037281314,-33000.252954841904,-8912.430710512432,34187.8109843373
35,-603.7185150426019,-32955.3291910229,-9259.721452263273,34236.83162191846
36,-607.8336089912004,-32910.10497849372,-9597.264150483692,34286.32308320412
37,-610.9256386564398,-32864.646644094726,-9924.703950301493,34335.95750344389
38,-612.991337819373,-32819.0207619774,-10241.6966320166,34385.407254496866
39,-614.0285244098151,-32773.29408327974,-10547.90897295988,34434.346513325545
40,-614.0361028113391,-32727.533465614662,-10843.019097776061,34482.452787370275
41,-613.0140650186145,-32681.805802446033,-11126.716816762562,34529.40839158894
42,-610.9634906458627,-32636.17795242672,-11398.703951908563,34574.9018727837
43,-607.8865457864259,-32590.716668773464,-11658.694650291653,34618.62937762782
44,-603.7864807246436,-32545.48852875316,-11906.415684502592,34660.29596154192
45,-598.6676265024652,-32500.559863354916,-12141.60673978253,34699.616836242894
46,-592.5353903444184,-32455.99668722235,-12364.02068757089,34736.31855439606
47,-585.3962499457701,-32411.864628919997,-12573.423845176469,34770.14013033795
48,-577.2577466299097,-32368.22886160756,-12769.596221298889,34800.83409630378
49,-568.1284773821856,-32325.154034195246,-12952.33174714248,34828.16749398821
50,-558.0180857686103,-32282.704203052836,-13121.438492879754,34851.922801594126
51,-546.9372517490237,-32240.94276434473,-13276.738869237124,34871.89879678214
52,-534.8976803954795,-32199.932387062352,-13418.069813991104,34887.911356127624
53,-521.9120895277673,-32159.7349468247,-13545.282963179188,34899.79419182591
54,-507.9941962791367,-32120.411460516978,-13658.244806845596,34907.3995264627
55,-493.15870260640946,-32082.022021836325,-13756.836829158421,34910.59870669131
56,-477.421279759789,-32044.625737812737,-13840.95563275113,34909.282756634275
57,-460.7985517287719,-32008.280666372262,-13910.51304715794,34903.36287175903
58,-443.30807768164647,-31973.043755008366,-13965.436221229384,34892.77085386947
59,-424.9683334171303,-31938.970780626325,-14005.667699431182,34877.45948771211
60,-405.79869184773816,-31906.116290624115,-14031.165481946517,34857.40285952042
61,-385.8194025354985,-31874.533545272097,-14041.90306851885,34832.5966176185
62,-365.0515703016335,-31844.27446145234,-14037.86948598951,34803.05817497883
63,-343.51713293279886,-31815.389557816994,-14019.069299501432,34768.82685338251
64,-321.23883800743266,-31787.927901423674,-13985.522607357623,34729.96396856848
65,-298.2402188666957,-31761.937055904218,-13937.265019540187,34686.55285548377
