,0,1,2,3
0,85.00000000090625,-33925.00000000002,5670.999999999814,34395.829558247315
1,54.75970067797567,-33923.67254641722,5251.020060746958,34327.7113909408
2,24.842819252492205,-33920.39027366903,4825.49683567121,34261.91636780935
3,-4.7190622547648715,-33915.17522707293,4394.879532132964,34198.74411516556
4,-33.894736581823295,-33908.0514922962,3959.6227351016537,34138.47854052246
5,-62.65340416974026,-33899.045169929756,3520.1859272690945,34081.38638383913
6,-90.96470567642966,-33888.18434793472,3077.0330039925193,34027.715837019474
7,-118.79875402577028,-33875.4990719912,2630.631783579335,33977.69524410408
8,-146.1261659581623,-33861.02131378025,2181.4535134305825,33931.53189438869
9,-172.91809304922555,-33844.78493723271,1729.972372564445,33889.41092029004
10,-199.14625216389427,-33826.82566278044,1276.6649710449688,33851.49431115538
11,-224.7829553137586,-33807.181029647734,822.009846844433,33817.92005337824
12,-249.80113888613545,-33785.890356222684,366.48696067049457,33788.80140614685
13,-274.17439221401014,-33762.9946985504,-89.4228107085757,33764.226320926755
14,-297.87698545669156,-33738.536806991826,-545.238182105718,33744.2570113854
15,-320.8838967617452,-33712.56108109394,-1000.4779679880446,33728.92967892874
16,-343.1708386795345,-33685.11352271899,-1454.6615904446164,33718.2543973691
17,-364.7142838024819,-33656.24168748219,-1907.3095865127646,33712.21515851231
18,-385.49148960198437,-33625.99463454924,-2357.9441143274153,33710.77007867932
19,-405.48052243676557,-33594.422874846605,-2806.089457559086,33713.8517643997
20,-424.66028070731807,-33561.578317739135,-3251.2725276080396,33721.36783377161
21,-443.0105171319944,-33527.51421623157,-3693.023363024455,33733.201588312724
22,-460.5118601212285,-33492.28511075147,-4130.875625627391,33749.212828562086
23,-477.1458342273261,-33455.94677157318,-4564.367092798814,33769.238805268964
24,-492.8948796482345,-33418.556139943394,-4993.040145433006,33793.095296744235
25,-507.7423707647037,-33380.171267970654,-5416.44225102622,33820.577801877145
26,-521.6726336912675,-33340.85125734215,-5834.126441396621,33851.46283744853
27,-534.6709628225204,-33300.65619693243,-6245.651784530213,33885.50932771094
28,-546.7236363572199,-33259.647099370144,-6650.583850054617,33922.46007375939
29,-557.8179307838271,-33217.88583662942,-7048.495167849345,33962.043289979556
30,-567.942134312195,-33175.43507471424,-7438.965679308418,34003.97419482663
31,-577.0855592372229,-33132.35820750449,-7821.583180778943,34047.95664334226
32,-585.2385532214272,-33088.71928983369,-8195.943758707563,34093.68478914366
33,-592.3925094845171,-33044.58296986884,-8561.652216035372,34140.844764097186
34,-598.5398758892176,-33000.01442086412,-8918.322489391183,34189.116364496025
35,-603.6741629137513,-32955.07927236012,-9265.578056642746,34238.17473327468
36,-607.7899505025582,-32909.84354090142,-9603.05233437568,34287.692028588055
37,-610.882893788027,-32864.373560345666,-9930.389064880492,34337.33906993621
38,-612.9497276771913,-32818.735911837655,-10247.242692239186,34386.78695390501
39,-613.9882702985552,-32772.99735352231,-10553.278727114423,34435.70863249674
40,-613.9974253054046,-32727.22475007092,-10848.174099856156,34483.780447925456
41,-612.977183033175,-32681.4850020948,-11131.61750155296,34530.683618630355
42,-610.9286205096543,-32635.844975521093,-11403.309712668044,34576.10567210588
43,-607.8539003180099,-32590.37143100517,-11662.96391891302,34619.74182094484
44,-603.7562683138382,-32545.130953454132,-11910.306014025926,34661.29627923267
45,-598.6400501986471,-32500.18988173589,-12145.074889133939,34700.48351711056
